MNST	163340.387616%	0.0305979158729	70.2200012207	7347898.8208
AMZN	38328.032677%	4.14583349228	1925.0	7868702.73287
AAPL	37146.0319467%	0.482142865658	219.179992676	121398558.199
CTSH	36312.8011611%	0.145833328366	85.0999984741	6272137.93307
CELG	24924.0000849%	0.171875	147.169998169	8002695.57352
WP	24012.4988778%	0.0500000007451	96.5100021362	1270066.16934
MED	13733.2303561%	0.0936999991536	229.199996948	223768.309139
NVR	11786.7001488%	21.625	3700.0	56463.7413395
ANSS	10077.1432059%	1.375	184.949996948	482841.405197
TSCO	9508.67816472%	0.40625	97.25	1592298.53705
