Job,500K,1M,5M,10M,Full,Double
1,0.13932,0.20394,1.18230,2.13939,5.05075,10.35549
2,0.15845,0.21438,1.08312,2.11509,4.29314,8.17123
3,0.11006,0.15797,0.36136,1.0789,2.06119,3.54273
