Job,500K,1M,5M,10M,Full,Double
1,0.27858,0.33,1.1240,1.47966,3.26578,6.33423
2,0.27698,0.30929,0.54367,1.27374,2.36679,4.40862
3,0.52463,0.52443,1.04430,1.25137,2.10067,3.13277
