Job,500K,1M,5M,10M,Full,Double
1,0.40080,0.40626,0.53412,1.03263,1.41829,2.05518
2,1.05288,1.16211,1.49435,2.06214,2.55769,4.21016
3,0.59894,1.05088,1.14472,1.34726,1.46556,1.56785
