Job,500K,1M,5M,10M,Full,Double
1,0.27858,0.33,1.1240,1.47966,3.26578,6.33423
2,0.28059,0.32018,0.54774,1.35073,2.39855,5.04264
3,0.51887,0.53458,1.2468,1.25486,2.46858,3.10443
