Job,48.30,100.7,479.40,955.50,1909.97,3819.94
1,5.57933,5.41579,7.18748,8.41130,12.23896,18.38587
2,9.41657,9.16765,9.43606,11.28889,13.27561,16.56705
3,7.47943,7.50599,8.49404,9.58601,10.45073,11.38578
