Job,48.30,100.7,479.40,955.50,1909.97,3819.94
1,0.42379,0.44107,1.16087,1.31,2.19,3.53887
2,1.08937,1.34448,2.37826,3.25272,5.408035,10.13003
3,1.12648,1.13073,1.46377,1.47426,2.30696,3.56158
