Job,48.30,100.7,479.40,955.50,1909.97,3819.94
1,0.29790,0.32699,0.52235,1.04371,1.25902,2.38037
2,0.23347,0.32774,0.45885,1.06436,1.41429,2.39415
3,0.26397,0.29570,0.40125,0.54352,1.20577,1.31216
