Job,500K,1M,5M,10M,Full,Double
1,0.30062,0.32502,0.51314,1.12279,1.57203,3.37383
2,0.30257,0.39294,0.54295,1.20049,1.48152,3.01085
3,0.24334,0.26979,0.38451,0.50321,1.03775,1.33434
