Job,48.30,100.7,479.40,955.50,1909.97,3819.94
1,0.14094,0.20921,1.05785,2.13822,3.16927,6.39315
2,0.17288,0.20799,1.0542,2.0086,3.49171,7.32245
3,0.12455,0.14147,0.39153,1.18618,2.03637,3.45384
